




Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (105)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of response to stimulus (GO:0048583)	3976	40	20.29	+	1.97	8.68E-06	3.01E-03
cell differentiation (GO:0030154)	3643	36	18.59	+	1.94	4.83E-05	1.19E-02
cellular developmental process (GO:0048869)	3646	36	18.60	+	1.94	4.87E-05	1.18E-02
signal transduction (GO:0007165)	4769	47	24.33	+	1.93	1.10E-06	7.30E-04
signaling (GO:0023052)	5089	49	25.96	+	1.89	1.09E-06	7.56E-04
negative regulation of cellular process (GO:0048523)	4833	46	24.66	+	1.87	4.35E-06	1.84E-03
negative regulation of biological process (GO:0048519)	5193	49	26.49	+	1.85	2.31E-06	1.14E-03
developmental process (GO:0032502)	5723	54	29.20	+	1.85	2.99E-07	4.14E-04
cell communication (GO:0007154)	5242	49	26.74	+	1.83	2.67E-06	1.23E-03
anatomical structure development (GO:0048856)	5216	48	26.61	+	1.80	7.55E-06	2.68E-03
cellular response to stimulus (GO:0051716)	6422	58	32.77	+	1.77	3.88E-07	4.22E-04
positive regulation of cellular process (GO:0048522)	5686	51	29.01	+	1.76	5.08E-06	1.89E-03
multicellular organismal process (GO:0032501)	6721	60	34.29	+	1.75	3.01E-07	3.82E-04
positive regulation of biological process (GO:0048518)	6186	55	31.56	+	1.74	1.79E-06	1.01E-03
response to stimulus (GO:0050896)	8143	66	41.55	+	1.59	1.72E-06	1.01E-03
regulation of biological process (GO:0050789)	11661	87	59.49	+	1.46	1.50E-08	4.58E-05
regulation of cellular process (GO:0050794)	11106	81	56.66	+	1.43	1.03E-06	7.47E-04
biological regulation (GO:0065007)	12079	87	61.63	+	1.41	1.38E-07	2.34E-04
biological_process (GO:0008150)	17695	102	90.28	+	1.13	2.00E-04	3.81E-02
Unclassified (UNCLASSIFIED)	2885	3	14.72	-	.20	2.00E-04	3.77E-02
